Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
122,Austin Hedges,30,TEX,16,25,24,1,5,0,0,0,2,0,0,0,8,.208,.208,.208,.417,14,5,0,0,1,0,0,2/1DH,hedgeau01
123,Jonah Heim,28,TEX,131,501,457,61,118,28,0,18,95,2,0,40,96,.258,.317,.438,.755,103,200,10,1,0,3,2,*2/DH,heimjo01
124,Tyler Heineman,32,TOR,19,37,29,4,8,1,1,0,3,0,0,7,7,.276,.432,.379,.812,129,11,0,1,0,0,0,2/H,heinety01
125,Gunnar Henderson,22,BAL,150,622,560,100,143,29,9,28,82,10,3,56,159,.255,.325,.489,.814,125,274,10,3,0,3,1,56D/H,hendegu01
126,David Hensley,27,HOU,30,94,84,12,10,1,0,1,3,1,0,10,35,.119,.213,.167,.379,8,14,0,0,0,0,0,D/4H375,henslda01
127,Enrique Hernandez,31,BOS,86,323,297,38,66,11,0,6,31,3,1,22,68,.222,.279,.320,.599,62,95,11,2,0,2,0,648/H,hernaen02
128,Teoscar Hernandez,30,SEA,160,678,625,70,161,29,2,26,93,7,2,38,211,.258,.305,.435,.741,106,272,6,8,0,7,2,*9D/H,hernate01
129,Aaron Hicks,33,TOT,93,312,269,44,68,9,1,8,36,6,0,42,69,.253,.353,.383,.735,106,103,3,0,0,1,1,879H/D,hicksaa01
130,Kyle Higashioka,33,NYY,92,260,242,24,57,13,0,10,34,0,0,14,74,.236,.274,.413,.687,85,100,5,0,1,3,0,2/HD,higasky01
131,Spencer Horwitz,25,TOR,15,44,39,5,10,2,0,1,7,0,0,4,12,.256,.341,.385,.726,102,15,1,1,0,0,0,/D3H,horwisp01
132,Sam Huff,25,TEX,21,45,43,5,11,2,0,3,6,0,0,2,17,.256,.289,.512,.801,112,22,1,0,0,0,0,2/D3H,huffsa01
133,Cooper Hummel,28,SEA,10,26,23,2,2,1,0,0,0,1,0,2,9,.087,.192,.130,.323,-6,3,1,1,0,0,0,/DH79,hummeco01
134,Andy Ibanez,30,DET,114,383,356,42,94,23,2,11,41,1,0,24,69,.264,.312,.433,.744,102,154,7,1,1,1,0,4H57/93D,ibanean01
135,Kyle Isbel,26,KCR,91,313,292,45,70,22,2,5,34,7,1,17,59,.240,.282,.380,.662,80,111,5,1,1,2,0,8/HD,isbelky01
136,Travis Jankowski,32,TEX,107,287,247,34,65,12,1,1,30,19,1,35,42,.263,.357,.332,.689,90,82,6,2,1,2,0,7H98/D,jankotr01
137,Danny Jansen,28,TOR,86,301,268,38,61,15,0,17,53,0,0,23,62,.228,.312,.474,.786,115,127,3,10,0,0,1,2H/D,janseda01
138,Ryan Jeffers,26,MIN,96,335,286,46,79,15,2,14,43,3,2,33,93,.276,.369,.490,.858,134,140,6,10,4,2,1,2H/D,jeffery01
139,Eloy Jimenez,26,CHW,120,489,456,50,124,23,0,18,64,0,0,30,93,.272,.317,.441,.758,104,201,13,1,0,2,2,D9/H,jimenel02
140,Aaron Judge,31,NYY,106,458,367,79,98,16,0,37,75,3,1,88,130,.267,.406,.613,1.019,175,225,5,0,0,3,9,9D8/H,judgeaa01
141,Edouard Julien,24,MIN,109,408,338,60,89,16,1,16,37,3,0,64,128,.263,.381,.459,.839,130,155,8,2,1,3,0,4DH/3,julieed01
142,Corey Julks,27,HOU,93,323,298,35,73,14,0,6,33,15,3,22,75,.245,.297,.352,.650,79,105,6,1,0,2,0,7DH/9,julksco01
143,Josh Jung,25,TEX,122,515,478,75,127,25,1,23,70,1,3,30,151,.266,.315,.467,.781,109,223,7,5,0,2,0,*5/H,jungjo01
144,Jarred Kelenic,23,SEA,105,416,372,44,94,25,2,11,49,13,5,41,132,.253,.327,.419,.746,109,156,6,1,0,2,4,79/8HD,kelenja01
145,Carson Kelly,28,DET,18,59,52,7,9,2,0,1,7,0,0,7,17,.173,.271,.269,.540,50,14,0,0,0,0,0,2/DH1,kellyca02
146,Tony Kemp,31,OAK,124,419,359,42,75,13,3,5,27,15,4,44,40,.209,.303,.304,.607,76,109,9,6,7,3,0,74H/D,kempto01
147,Max Kepler,30,MIN,130,491,438,72,114,22,2,24,66,1,1,45,106,.260,.332,.484,.816,121,212,9,4,0,4,0,*9H/D,keplema01
148,Grae Kessinger,25,HOU,26,45,40,3,8,2,0,1,1,0,1,5,12,.200,.289,.325,.614,70,13,0,0,0,0,0,/H5643,kessigr01
149,Kevin Kiermaier,33,TOR,129,408,370,58,98,21,6,8,36,14,1,29,86,.265,.322,.419,.741,104,155,9,4,1,4,0,*8/HD,kiermke01
150,Isiah Kiner-Falefa,28,NYY,113,361,326,39,79,12,1,6,37,14,5,28,70,.242,.306,.340,.646,78,111,12,3,1,3,0,875H/9146,kineris01
151,Alex Kirilloff,25,MIN,88,319,281,35,76,14,1,11,41,1,0,28,80,.270,.348,.445,.793,117,125,2,7,0,3,1,3H97/D,kirilal01
152,Alejandro Kirk,24,TOR,123,422,372,34,93,16,0,8,43,0,0,42,45,.250,.334,.358,.692,93,133,21,6,0,2,1,2HD,kirkal01
153,Heston Kjerstad,24,BAL,13,33,30,3,7,1,0,2,3,0,0,2,10,.233,.281,.467,.748,106,14,0,0,0,0,0,/DH79,kjershe01
154,Ryan Kreidler,25,DET,11,18,18,2,2,0,0,0,0,0,0,0,7,.111,.111,.111,.222,-38,2,0,0,0,0,0,/456DH,kreidry01
155,Steven Kwan,25,CLE,158,718,638,93,171,36,7,5,54,21,3,70,75,.268,.340,.370,.710,100,236,9,3,1,6,2,*7/DH,kwanst01
157,Jake Lamb,32,LAA,18,54,51,7,11,1,0,2,5,0,0,3,15,.216,.259,.353,.612,65,18,1,0,0,0,0,3/H1,lambja01
158,Shea Langeliers,25,OAK,135,490,448,52,92,19,4,22,63,3,2,34,143,.205,.268,.413,.681,92,185,10,5,1,2,2,*2/DH,langesh01
159,Trevor Larnach,26,MIN,58,212,183,26,39,7,3,8,40,1,1,27,72,.213,.311,.415,.727,98,76,2,0,0,2,1,79/HD,larnatr01
160,Ramón Laureano,28,TOT,105,404,361,46,81,18,4,9,35,12,1,33,114,.224,.304,.371,.676,91,134,9,9,0,1,0,98/HD,laurera01
